reference,property_type,co2_dropout_rate,cold_risk_score,observed_cold_rate,winter_days,rank,data_reliability,sensor_repair_needed,model_reliability,recommended_action,flagged
151 fenstow lane,semi-detached,0.244,0.7783,0.8383,303,20,HIGH,False,OK,Rank by cold-risk score,True
U031190396,semi-detached,0.301,0.7777,0.9703,303,21,HIGH,False,OK,Rank by cold-risk score,True
U975592383,terraced,0.29,0.7775,0.9538,303,22,HIGH,False,OK,Rank by cold-risk score,True
U657752779,terraced,0.833,0.777,0.967,303,23,LOW,True,OK,Rank by cold-risk AND dispatch CO2 sensor repair (data integrity),True
U2100409,terraced,0.347,0.7768,0.9439,303,24,HIGH,False,OK,Rank by cold-risk score,True
U35843131,semi-detached,0.324,0.7749,0.9637,303,25,HIGH,False,OK,Rank by cold-risk score,True
U73376898,detached,0.315,0.7744,0.9538,303,26,HIGH,False,OK,Rank by cold-risk score,True
U6997295,semi-detached,0.309,0.7723,0.9472,303,27,HIGH,False,OK,Rank by cold-risk score,True
U1258816,terraced,0.36,0.7717,0.9571,303,28,HIGH,False,OK,Rank by cold-risk score,True
belcroft rise 42,terraced,0.865,0.7703,0.9538,303,29,LOW,True,OK,Rank by cold-risk AND dispatch CO2 sensor repair (data integrity),True
137 brackway cl,detached,0.346,0.7699,0.9472,303,30,HIGH,False,OK,Rank by cold-risk score,True
5 mossden hill,semi-detached,0.282,0.7696,0.8713,303,31,HIGH,False,OK,Rank by cold-risk score,True
57 brackway close,terraced,0.29,0.7695,0.967,303,32,HIGH,False,OK,Rank by cold-risk score,True
U494556,semi-detached,0.324,0.7689,0.8845,303,33,HIGH,False,OK,Rank by cold-risk score,True
90 quinley gr,terraced,0.304,0.7688,0.9703,303,34,HIGH,False,OK,Rank by cold-risk score,True
U05478963,semi-detached,0.755,0.7676,0.8977,303,35,LOW,True,OK,Rank by cold-risk AND dispatch CO2 sensor repair (data integrity),True
27 ravenspur gdns,semi-detached,0.349,0.767,0.8812,303,36,HIGH,False,OK,Rank by cold-risk score,True
U4871160,terraced,0.345,0.7669,0.934,303,37,HIGH,False,OK,Rank by cold-risk score,True
U643644,semi-detached,0.272,0.7668,0.9076,303,38,HIGH,False,OK,Rank by cold-risk score,True
U3113802,terraced,0.286,0.7656,0.9439,303,39,HIGH,False,OK,Rank by cold-risk score,True
U196939504,terraced,0.777,0.7656,0.9241,303,40,LOW,True,OK,Rank by cold-risk AND dispatch CO2 sensor repair (data integrity),True
U495900,terraced,0.289,0.7649,0.901,303,41,HIGH,False,OK,Rank by cold-risk score,True
U942877,semi-detached,0.311,0.7649,0.8548,303,42,HIGH,False,OK,Rank by cold-risk score,True
109 belcroft rise,detached,0.338,0.7642,0.9538,303,43,HIGH,False,OK,Rank by cold-risk score,True
U359212,semi-detached,0.334,0.7612,0.8218,303,44,HIGH,False,OK,Rank by cold-risk score,True
U1237387,terraced,0.274,0.7604,0.8911,303,45,HIGH,False,OK,Rank by cold-risk score,True
U3245342,semi-detached,0.285,0.76,0.9439,303,46,HIGH,False,OK,Rank by cold-risk score,True
U821589,detached,0.252,0.7599,0.9373,303,47,HIGH,False,OK,Rank by cold-risk score,True
U535106985,semi-detached,0.863,0.7597,0.868,303,48,LOW,True,OK,Rank by cold-risk AND dispatch CO2 sensor repair (data integrity),True
U309721,terraced,0.328,0.7592,0.8515,303,49,HIGH,False,OK,Rank by cold-risk score,True
U876455102,terraced,0.311,0.7584,0.9274,303,50,HIGH,False,OK,Rank by cold-risk score,True
78 thornhaven avenue,terraced,0.269,0.758,0.9505,303,51,HIGH,False,OK,Rank by cold-risk score,True
138 ravenspur,semi-detached,0.33,0.7573,0.9175,303,52,HIGH,False,OK,Rank by cold-risk score,True
U2180361,semi-detached,0.373,0.7571,0.8779,303,53,HIGH,False,OK,Rank by cold-risk score,True
U101524034,terraced,0.856,0.7566,0.9175,303,54,LOW,True,OK,Rank by cold-risk AND dispatch CO2 sensor repair (data integrity),True
U59540133,terraced,0.903,0.7565,0.9043,303,55,LOW,True,OK,Rank by cold-risk AND dispatch CO2 sensor repair (data integrity),True
U3713136,terraced,0.35,0.7563,0.9043,303,56,HIGH,False,OK,Rank by cold-risk score,True
U3196347,semi-detached,0.246,0.7561,0.8614,303,57,HIGH,False,OK,Rank by cold-risk score,True
43 brackway close,terraced,0.335,0.7557,0.8614,303,58,HIGH,False,OK,Rank by cold-risk score,True
U40412871,semi-detached,0.249,0.7552,0.7954,303,59,HIGH,False,OK,Rank by cold-risk score,True
U751920,terraced,0.235,0.754,0.9571,303,60,HIGH,False,OK,Rank by cold-risk score,True
U073307167,terraced,0.272,0.7538,0.7921,303,61,HIGH,False,OK,Rank by cold-risk score,True
U5748522,terraced,0.349,0.7529,0.8779,303,62,HIGH,False,OK,Rank by cold-risk score,True
166 greyloch terrace,detached,0.272,0.7507,0.7393,303,63,HIGH,False,OK,Rank by cold-risk score,True
aldwick way 160,terraced,0.342,0.7504,0.9076,303,64,HIGH,False,OK,Rank by cold-risk score,True
fenstow lane 100,semi-detached,0.896,0.7504,0.8218,303,65,LOW,True,OK,Rank by cold-risk AND dispatch CO2 sensor repair (data integrity),True
U1183557,terraced,0.312,0.75,0.8449,303,66,HIGH,False,OK,Rank by cold-risk score,True
thornhaven avenue,semi-detached,0.271,0.7499,0.6469,303,67,HIGH,False,OK,Rank by cold-risk score,True
U02004870,detached,0.304,0.7499,0.8548,303,68,HIGH,False,OK,Rank by cold-risk score,True
U76308381,semi-detached,0.265,0.7496,0.7921,303,69,HIGH,False,OK,Rank by cold-risk score,True
belcroft rise 47,terraced,0.263,0.7495,0.9637,303,70,HIGH,False,OK,Rank by cold-risk score,True
69 sowgate walk,terraced,0.283,0.7495,0.9373,303,71,HIGH,False,OK,Rank by cold-risk score,True
U463975,terraced,0.289,0.7492,0.9241,303,72,HIGH,False,OK,Rank by cold-risk score,True
24 mossden hill,semi-detached,0.709,0.7492,0.9472,303,73,LOW,True,OK,Rank by cold-risk AND dispatch CO2 sensor repair (data integrity),True
U2914504,terraced,0.35,0.7489,0.9142,303,74,HIGH,False,OK,Rank by cold-risk score,True
U954179688,terraced,0.326,0.7479,0.9043,303,75,HIGH,False,OK,Rank by cold-risk score,True
U22546380,terraced,0.328,0.7469,0.8284,303,76,HIGH,False,OK,Rank by cold-risk score,True
U74468382,semi-detached,0.3,0.7466,0.7195,303,77,HIGH,False,OK,Rank by cold-risk score,True
U026941287,terraced,0.323,0.7458,0.9472,303,78,HIGH,False,OK,Rank by cold-risk score,True
draywick place 56,terraced,0.276,0.7456,0.8053,303,79,HIGH,False,OK,Rank by cold-risk score,True
U354490786,terraced,0.342,0.7454,0.9307,303,80,HIGH,False,OK,Rank by cold-risk score,True
U3655340,terraced,0.383,0.7453,0.8548,303,81,HIGH,False,OK,Rank by cold-risk score,True
168 thornhaven,detached,0.304,0.7451,0.7921,303,82,HIGH,False,OK,Rank by cold-risk score,True
U0952650,terraced,0.326,0.745,0.8482,303,83,HIGH,False,OK,Rank by cold-risk score,True
U9457613,semi-detached,0.3,0.7447,0.769,303,84,HIGH,False,OK,Rank by cold-risk score,True
U9243113,terraced,0.279,0.7442,0.9109,303,85,HIGH,False,OK,Rank by cold-risk score,True
U564187982,terraced,0.317,0.7442,0.9538,303,86,HIGH,False,OK,Rank by cold-risk score,True
U011764205,terraced,0.825,0.7433,0.9307,303,87,LOW,True,OK,Rank by cold-risk AND dispatch CO2 sensor repair (data integrity),True
U8264178,detached,0.293,0.7432,0.7954,303,88,HIGH,False,OK,Rank by cold-risk score,True
U845161,terraced,0.295,0.7419,0.9307,303,89,HIGH,False,OK,Rank by cold-risk score,True
U250942,terraced,0.305,0.7418,0.835,303,90,HIGH,False,OK,Rank by cold-risk score,True
U904891,semi-detached,0.85,0.7408,0.6469,303,91,LOW,True,OK,Rank by cold-risk AND dispatch CO2 sensor repair (data integrity),True
U1090091,terraced,0.26,0.7407,0.9076,303,92,HIGH,False,OK,Rank by cold-risk score,True
U475832,terraced,0.855,0.7405,0.9208,303,93,LOW,True,OK,Rank by cold-risk AND dispatch CO2 sensor repair (data integrity),True
U73008163,terraced,0.956,0.7405,0.8713,303,94,LOW,True,OK,Rank by cold-risk AND dispatch CO2 sensor repair (data integrity),True
harspell drive 93,terraced,0.862,0.7402,0.8152,303,95,LOW,True,OK,Rank by cold-risk AND dispatch CO2 sensor repair (data integrity),True
U538935,terraced,0.291,0.7401,0.901,303,96,HIGH,False,OK,Rank by cold-risk score,True
90 aldwick way,semi-detached,0.228,0.7395,0.9175,303,97,HIGH,False,OK,Rank by cold-risk score,True
U4689296,detached,0.347,0.7394,0.9439,303,98,HIGH,False,OK,Rank by cold-risk score,True
U433277814,detached,0.267,0.7394,0.6766,303,99,HIGH,False,OK,Rank by cold-risk score,True
U108285,detached,0.301,0.7382,0.4752,303,100,HIGH,False,OK,Rank by cold-risk score,True
91 salthorpe row,semi-detached,0.338,0.738,0.6172,303,101,HIGH,False,OK,Rank by cold-risk score,True
U96274511,terraced,0.268,0.7378,0.8317,303,102,HIGH,False,OK,Rank by cold-risk score,True
U43665046,semi-detached,0.718,0.7364,0.8317,303,103,LOW,True,OK,Rank by cold-risk AND dispatch CO2 sensor repair (data integrity),True
U11827122,semi-detached,0.792,0.7364,0.769,303,104,LOW,True,OK,Rank by cold-risk AND dispatch CO2 sensor repair (data integrity),True
58 pendwick close,terraced,0.892,0.7364,0.934,303,105,LOW,True,OK,Rank by cold-risk AND dispatch CO2 sensor repair (data integrity),True
U619899,terraced,0.291,0.736,0.8515,303,106,HIGH,False,OK,Rank by cold-risk score,True
U798729,semi-detached,0.346,0.7358,0.7525,303,107,HIGH,False,OK,Rank by cold-risk score,True
78 mossden hill,semi-detached,0.934,0.7357,0.5083,303,108,LOW,True,OK,Rank by cold-risk AND dispatch CO2 sensor repair (data integrity),True
wulfden row 157,terraced,0.239,0.7354,0.7525,303,109,HIGH,False,OK,Rank by cold-risk score,True
fenstow lane 7,terraced,0.304,0.7349,0.736,303,110,HIGH,False,OK,Rank by cold-risk score,True
U28384170,terraced,0.352,0.7345,0.8614,303,111,HIGH,False,OK,Rank by cold-risk score,True
66 fenstow ln,terraced,0.298,0.7338,0.8383,303,112,HIGH,False,OK,Rank by cold-risk score,True
U76090905,detached,0.891,0.7331,0.9538,303,113,LOW,True,OK,Rank by cold-risk AND dispatch CO2 sensor repair (data integrity),True
U037813571,terraced,0.308,0.7324,0.7063,303,114,HIGH,False,OK,Rank by cold-risk score,True
U915722,detached,0.297,0.7318,0.7327,303,115,HIGH,False,OK,Rank by cold-risk score,True
60 belcroft rise,detached,0.316,0.7305,0.5776,303,116,HIGH,False,OK,Rank by cold-risk score,True
172 harspell drive,semi-detached,0.26,0.7303,0.5908,303,117,HIGH,False,OK,Rank by cold-risk score,True
U921628,terraced,0.337,0.7303,0.7558,303,118,HIGH,False,OK,Rank by cold-risk score,True
U634507675,terraced,0.35,0.7302,0.7558,303,119,HIGH,False,OK,Rank by cold-risk score,True
U527576,terraced,0.331,0.7298,0.7393,303,120,HIGH,False,OK,Rank by cold-risk score,True
U321861,semi-detached,0.765,0.7297,0.7657,303,121,LOW,True,OK,Rank by cold-risk AND dispatch CO2 sensor repair (data integrity),True
U468662248,terraced,0.293,0.7293,0.7426,303,122,HIGH,False,OK,Rank by cold-risk score,True
U410214,terraced,0.829,0.7292,0.6205,303,123,LOW,True,OK,Rank by cold-risk AND dispatch CO2 sensor repair (data integrity),True
U737831815,terraced,0.283,0.7292,0.7327,303,124,HIGH,False,OK,Rank by cold-risk score,True
174 greyloch terrace,terraced,0.293,0.7286,0.8284,303,125,HIGH,False,OK,Rank by cold-risk score,True
U11455252,detached,0.32,0.7286,0.6667,303,126,HIGH,False,OK,Rank by cold-risk score,True
U682851,detached,0.33,0.7281,0.802,303,127,HIGH,False,OK,Rank by cold-risk score,True
U5294863,terraced,0.291,0.728,0.8647,303,128,HIGH,False,OK,Rank by cold-risk score,True
harspell drive 88,semi-detached,0.331,0.7278,0.5974,303,129,HIGH,False,OK,Rank by cold-risk score,True
U8499562,terraced,0.267,0.7235,0.5974,303,130,HIGH,False,OK,Rank by cold-risk score,True
U2414203,detached,0.339,0.723,0.6766,303,131,HIGH,False,OK,Rank by cold-risk score,True
U7045123,terraced,0.275,0.7227,0.6172,303,132,HIGH,False,OK,Rank by cold-risk score,True
U2954969,terraced,0.298,0.7219,0.5413,303,133,HIGH,False,OK,Rank by cold-risk score,True
U932540,terraced,0.301,0.7215,0.604,303,134,HIGH,False,OK,Rank by cold-risk score,True
sowgate walk 17,terraced,0.321,0.7215,0.7921,303,135,HIGH,False,OK,Rank by cold-risk score,True
U19877503,terraced,0.306,0.7207,0.6535,303,136,HIGH,False,OK,Rank by cold-risk score,True
U03795346,semi-detached,0.304,0.72,0.3498,303,137,HIGH,False,OK,Rank by cold-risk score,True
53 greyloch terrace,terraced,0.278,0.7193,0.7393,303,138,HIGH,False,OK,Rank by cold-risk score,True
U313520,detached,0.3,0.7172,0.4851,303,139,HIGH,False,OK,Rank by cold-risk score,True
58 greyloch terr,terraced,0.256,0.7171,0.571,303,140,HIGH,False,OK,Rank by cold-risk score,True
U692741153,terraced,0.252,0.7167,0.8218,303,141,HIGH,False,OK,Rank by cold-risk score,True
greyloch terrace 171,terraced,0.304,0.7166,0.7294,303,142,HIGH,False,OK,Rank by cold-risk score,True
93 sowgate walk,terraced,0.733,0.7165,0.7162,303,143,LOW,True,OK,Rank by cold-risk AND dispatch CO2 sensor repair (data integrity),True
U587355723,semi-detached,0.294,0.7159,0.3894,303,144,HIGH,False,OK,Rank by cold-risk score,True
U98100512,terraced,0.269,0.7158,0.6007,303,145,HIGH,False,OK,Rank by cold-risk score,True
135 draywick place,detached,0.286,0.7156,0.7756,303,146,HIGH,False,OK,Rank by cold-risk score,True
32 salthorpe row,terraced,0.278,0.7148,0.7987,303,147,HIGH,False,OK,Rank by cold-risk score,True
U1641392,terraced,0.747,0.7115,0.4752,303,148,LOW,True,OK,Rank by cold-risk AND dispatch CO2 sensor repair (data integrity),True
U4818963,semi-detached,0.747,0.7115,0.33,303,149,LOW,True,OK,Rank by cold-risk AND dispatch CO2 sensor repair (data integrity),True
U09307660,semi-detached,0.272,0.7109,0.165,303,150,HIGH,False,OK,Rank by cold-risk score,True
114 salthorpe row,semi-detached,0.334,0.7105,0.2508,303,151,HIGH,False,OK,Rank by cold-risk score,True
U1988338,semi-detached,0.803,0.7091,0.5083,303,152,LOW,True,OK,Rank by cold-risk AND dispatch CO2 sensor repair (data integrity),True
sowgate walk 156,detached,0.345,0.7088,0.7657,303,153,HIGH,False,OK,Rank by cold-risk score,True
U568402,terraced,0.268,0.7079,0.4851,303,154,HIGH,False,OK,Rank by cold-risk score,True
U367831,detached,0.28,0.7075,0.1221,303,155,HIGH,False,OK,Rank by cold-risk score,True
149 greyloch terrace,terraced,0.297,0.7071,0.5083,303,156,HIGH,False,OK,Rank by cold-risk score,True
26 sowgate walk,terraced,0.26,0.7068,0.5479,303,157,HIGH,False,OK,Rank by cold-risk score,True
U77956723,semi-detached,0.943,0.7061,0.3333,303,158,LOW,True,OK,Rank by cold-risk AND dispatch CO2 sensor repair (data integrity),True
54 belcroft rise,semi-detached,0.317,0.7059,0.6172,303,159,HIGH,False,OK,Rank by cold-risk score,True
37 ravenspur gardens,terraced,0.323,0.705,0.3135,303,160,HIGH,False,OK,Rank by cold-risk score,True
U086429343,terraced,0.282,0.704,0.7162,303,161,HIGH,False,OK,Rank by cold-risk score,True
U059553158,terraced,0.813,0.7031,0.5578,303,162,LOW,True,OK,Rank by cold-risk AND dispatch CO2 sensor repair (data integrity),True
U664812,terraced,0.282,0.7016,0.3795,303,163,HIGH,False,OK,Rank by cold-risk score,True
13 sowgate walk,terraced,0.259,0.6982,0.3795,303,164,HIGH,False,OK,Rank by cold-risk score,True
U725660282,terraced,0.75,0.6974,0.5677,303,165,LOW,True,OK,Rank by cold-risk AND dispatch CO2 sensor repair (data integrity),True
U797271,semi-detached,0.748,0.6931,0.1287,303,166,LOW,True,OK,Rank by cold-risk AND dispatch CO2 sensor repair (data integrity),True
U067193,detached,0.309,0.6927,0.4026,303,167,HIGH,False,OK,Rank by cold-risk score,True
U4921910,detached,0.252,0.6917,0.1815,303,168,HIGH,False,OK,Rank by cold-risk score,True
U167611,detached,0.306,0.6837,0.0627,303,169,HIGH,False,OK,Rank by cold-risk score,True
U500247402,terraced,0.331,0.6833,0.1584,303,170,HIGH,False,OK,Rank by cold-risk score,True
U171660,terraced,0.28,0.6824,0.2937,303,171,HIGH,False,OK,Rank by cold-risk score,True
U9683448,terraced,0.354,0.6817,0.2541,303,172,HIGH,False,OK,Rank by cold-risk score,True
U234876,terraced,0.282,0.681,0.363,303,173,HIGH,False,OK,Rank by cold-risk score,True
20 colwick road,terraced,0.261,0.6789,0.4059,303,174,HIGH,False,OK,Rank by cold-risk score,True
U732940,terraced,0.283,0.6767,0.1716,303,175,HIGH,False,OK,Rank by cold-risk score,True
U634748,terraced,0.287,0.6759,0.2277,303,176,HIGH,False,OK,Rank by cold-risk score,True
132 draywick place,terraced,0.246,0.6757,0.5149,303,177,HIGH,False,OK,Rank by cold-risk score,True
160 belcroft rise,terraced,0.268,0.6726,0.1749,303,178,HIGH,False,OK,Rank by cold-risk score,True
U70877383,terraced,0.26,0.6682,0.1551,303,179,HIGH,False,OK,Rank by cold-risk score,True
U9737734,semi-detached,0.341,0.6488,0.0231,303,180,HIGH,False,OK,Rank by cold-risk score,True
U5575656,flat,0.903,0.355,0.3597,303,181,LOW,True,LOWER (flat: AUROC 0.68),Rank by cold-risk AND dispatch CO2 sensor repair (data integrity),False
U96443155,flat,0.297,0.355,0.3168,303,182,HIGH,False,LOWER (flat: AUROC 0.68),Rank by cold-risk score,False
U98922820,flat,0.223,0.3525,0.5083,303,183,HIGH,False,LOWER (flat: AUROC 0.68),Rank by cold-risk score,False
U404211655,flat,0.306,0.3441,0.33,303,184,HIGH,False,LOWER (flat: AUROC 0.68),Rank by cold-risk score,False
U578465,flat,0.261,0.342,0.2607,303,185,HIGH,False,LOWER (flat: AUROC 0.68),Rank by cold-risk score,False
U414829563,flat,0.349,0.3321,0.2244,303,186,HIGH,False,LOWER (flat: AUROC 0.68),Rank by cold-risk score,False
U56084187,flat,0.274,0.3314,0.3168,303,187,HIGH,False,LOWER (flat: AUROC 0.68),Rank by cold-risk score,False
flat 2b 50 aldwick,flat,0.268,0.3303,0.2277,303,188,HIGH,False,LOWER (flat: AUROC 0.68),Rank by cold-risk score,False
unit 3 120 pendwick,flat,0.331,0.3291,0.264,303,189,HIGH,False,LOWER (flat: AUROC 0.68),Rank by cold-risk score,False
flat 1a 60 quinley,flat,0.384,0.3279,0.297,303,190,HIGH,False,LOWER (flat: AUROC 0.68),Rank by cold-risk score,False
U487843,flat,0.33,0.3266,0.2475,303,191,HIGH,False,LOWER (flat: AUROC 0.68),Rank by cold-risk score,False
apt 4b 12 trentbury,flat,0.271,0.3255,0.1947,303,192,HIGH,False,LOWER (flat: AUROC 0.68),Rank by cold-risk score,False
U98684976,flat,0.819,0.3175,0.1452,303,193,LOW,True,LOWER (flat: AUROC 0.68),Rank by cold-risk AND dispatch CO2 sensor repair (data integrity),False
flat 1a 106 aldwick,flat,0.245,0.3166,0.0957,303,194,HIGH,False,LOWER (flat: AUROC 0.68),Rank by cold-risk score,False
U474130713,flat,0.285,0.3158,0.2112,303,195,HIGH,False,LOWER (flat: AUROC 0.68),Rank by cold-risk score,False
U102075,flat,0.242,0.3148,0.1881,303,196,HIGH,False,LOWER (flat: AUROC 0.68),Rank by cold-risk score,False
U421756,flat,0.311,0.3147,0.1914,303,197,HIGH,False,LOWER (flat: AUROC 0.68),Rank by cold-risk score,False
U649191287,flat,0.274,0.3142,0.2211,303,198,HIGH,False,LOWER (flat: AUROC 0.68),Rank by cold-risk score,False
flat 1a 26 velmoor,flat,0.294,0.314,0.1287,303,199,HIGH,False,LOWER (flat: AUROC 0.68),Rank by cold-risk score,False
U985752,flat,0.283,0.3134,0.2508,303,200,HIGH,False,LOWER (flat: AUROC 0.68),Rank by cold-risk score,False
U1033120,flat,0.332,0.3128,0.1881,303,201,HIGH,False,LOWER (flat: AUROC 0.68),Rank by cold-risk score,False
U62649114,flat,0.312,0.3093,0.1881,303,202,HIGH,False,LOWER (flat: AUROC 0.68),Rank by cold-risk score,False
U760255,flat,0.283,0.3088,0.1353,303,203,HIGH,False,LOWER (flat: AUROC 0.68),Rank by cold-risk score,False
6 aldwick way 138,flat,0.285,0.3045,0.1716,303,204,HIGH,False,LOWER (flat: AUROC 0.68),Rank by cold-risk score,False
U489843924,flat,0.338,0.3036,0.0957,303,205,HIGH,False,LOWER (flat: AUROC 0.68),Rank by cold-risk score,False
U330870444,flat,0.319,0.2986,0.099,303,206,HIGH,False,LOWER (flat: AUROC 0.68),Rank by cold-risk score,False
apt 4b 22 harspell,flat,0.249,0.2979,0.2046,303,207,HIGH,False,LOWER (flat: AUROC 0.68),Rank by cold-risk score,False
unit 3 85 belcroft,flat,0.321,0.2972,0.2475,303,208,HIGH,False,LOWER (flat: AUROC 0.68),Rank by cold-risk score,False
U295345,flat,0.308,0.2967,0.0957,303,209,HIGH,False,LOWER (flat: AUROC 0.68),Rank by cold-risk score,False
unit 3 thornhaven,flat,0.23,0.2966,0.1155,303,210,HIGH,False,LOWER (flat: AUROC 0.68),Rank by cold-risk score,False
flat 1a 33 draywick,flat,0.304,0.296,0.0561,303,211,HIGH,False,LOWER (flat: AUROC 0.68),Rank by cold-risk score,False
flat 2b 119 quinley,flat,0.331,0.296,0.1188,303,212,HIGH,False,LOWER (flat: AUROC 0.68),Rank by cold-risk score,False
U53958758,flat,0.902,0.2947,0.1386,303,213,LOW,True,LOWER (flat: AUROC 0.68),Rank by cold-risk AND dispatch CO2 sensor repair (data integrity),False
apt 4b aldwick way,flat,0.332,0.2939,0.0627,303,214,HIGH,False,LOWER (flat: AUROC 0.68),Rank by cold-risk score,False
flat 2b 54,flat,0.245,0.2924,0.0924,303,215,HIGH,False,LOWER (flat: AUROC 0.68),Rank by cold-risk score,False
U351833548,flat,0.338,0.291,0.1419,303,216,HIGH,False,LOWER (flat: AUROC 0.68),Rank by cold-risk score,False
U37583983,flat,0.265,0.2908,0.1122,303,217,HIGH,False,LOWER (flat: AUROC 0.68),Rank by cold-risk score,False
U64941191,flat,0.752,0.2904,0.0792,303,218,LOW,True,LOWER (flat: AUROC 0.68),Rank by cold-risk AND dispatch CO2 sensor repair (data integrity),False
U235834010,flat,0.239,0.2894,0.1089,303,219,HIGH,False,LOWER (flat: AUROC 0.68),Rank by cold-risk score,False
U51039966,flat,0.268,0.2844,0.0594,303,220,HIGH,False,LOWER (flat: AUROC 0.68),Rank by cold-risk score,False
f5 20 mossden hill,flat,0.267,0.282,0.165,303,221,HIGH,False,LOWER (flat: AUROC 0.68),Rank by cold-risk score,False
U528896154,flat,0.253,0.2814,0.0957,303,222,HIGH,False,LOWER (flat: AUROC 0.68),Rank by cold-risk score,False
U12661535,flat,0.3,0.2798,0.1056,303,223,HIGH,False,LOWER (flat: AUROC 0.68),Rank by cold-risk score,False
U5768354,flat,0.321,0.2792,0.033,303,224,HIGH,False,LOWER (flat: AUROC 0.68),Rank by cold-risk score,False
flat 1a brackway,flat,0.341,0.2775,0.1056,303,225,HIGH,False,LOWER (flat: AUROC 0.68),Rank by cold-risk score,False
U319677,flat,0.782,0.2771,0.1023,303,226,LOW,True,LOWER (flat: AUROC 0.68),Rank by cold-risk AND dispatch CO2 sensor repair (data integrity),False
U094743761,flat,0.353,0.2762,0.0924,303,227,HIGH,False,LOWER (flat: AUROC 0.68),Rank by cold-risk score,False
apt 4b greyloch,flat,0.335,0.2738,0.0594,303,228,HIGH,False,LOWER (flat: AUROC 0.68),Rank by cold-risk score,False
U73963062,flat,0.337,0.2717,0.0462,303,229,HIGH,False,LOWER (flat: AUROC 0.68),Rank by cold-risk score,False
U763012057,flat,0.308,0.2698,0.0792,303,230,HIGH,False,LOWER (flat: AUROC 0.68),Rank by cold-risk score,False
U56467760,flat,0.947,0.2682,0.0462,303,231,LOW,True,LOWER (flat: AUROC 0.68),Rank by cold-risk AND dispatch CO2 sensor repair (data integrity),False
U214957,flat,0.257,0.2676,0.0297,303,232,HIGH,False,LOWER (flat: AUROC 0.68),Rank by cold-risk score,False
U32735145,flat,0.283,0.2663,0.066,303,233,HIGH,False,LOWER (flat: AUROC 0.68),Rank by cold-risk score,False
unit 3 84 quinley gr,flat,0.291,0.2659,0.0165,303,234,HIGH,False,LOWER (flat: AUROC 0.68),Rank by cold-risk score,False
flat 1a 143,flat,0.341,0.2636,0.0858,303,235,HIGH,False,LOWER (flat: AUROC 0.68),Rank by cold-risk score,False
U888002,flat,0.274,0.2635,0.0627,303,236,HIGH,False,LOWER (flat: AUROC 0.68),Rank by cold-risk score,False
apt 4b quinley,flat,0.826,0.2628,0.0264,303,237,LOW,True,LOWER (flat: AUROC 0.68),Rank by cold-risk AND dispatch CO2 sensor repair (data integrity),False
U131299062,flat,0.272,0.2616,0.0429,303,238,HIGH,False,LOWER (flat: AUROC 0.68),Rank by cold-risk score,False
U545726854,flat,0.264,0.2602,0.0726,303,239,HIGH,False,LOWER (flat: AUROC 0.68),Rank by cold-risk score,False
U024441205,flat,0.725,0.2589,0.0066,303,240,LOW,True,LOWER (flat: AUROC 0.68),Rank by cold-risk AND dispatch CO2 sensor repair (data integrity),False
U89917868,flat,0.337,0.2552,0.0132,303,241,HIGH,False,LOWER (flat: AUROC 0.68),Rank by cold-risk score,False
