reference,year,month,day,smart_meter_kwh,noise_db
flat 1a 33 draywick,2023,3,26,24.4,55.0
flat 1a 33 draywick,2023,3,27,19.6,41.8
flat 1a 33 draywick,2023,3,28,21.6,45.7
flat 1a 33 draywick,2023,3,29,21.4,43.4
flat 1a 33 draywick,2023,3,30,22.2,41.0
flat 1a 33 draywick,2023,3,31,21.8,50.5
U404211655,2023,1,1,21.3,49.4
U404211655,2023,1,2,26.2,42.0
U404211655,2023,1,3,21.5,41.1
U404211655,2023,1,4,27.9,48.1
U404211655,2023,1,5,22.4,51.5
U404211655,2023,1,6,25.9,45.6
U404211655,2023,1,7,23.3,49.6
U404211655,2023,1,8,26.1,49.7
U404211655,2023,1,9,21.1,45.2
U404211655,2023,1,10,26.0,57.4
U404211655,2023,1,11,25.1,
U404211655,2023,1,12,23.0,45.3
U404211655,2023,1,13,22.1,48.8
U404211655,2023,1,14,26.3,51.0
U404211655,2023,1,15,21.4,59.3
U404211655,2023,1,16,22.7,58.1
U404211655,2023,1,17,18.7,48.6
U404211655,2023,1,18,22.3,41.5
U404211655,2023,1,19,24.3,48.4
U404211655,2023,1,20,24.3,48.7
U404211655,2023,1,21,22.5,
U404211655,2023,1,22,23.5,51.3
U404211655,2023,1,23,21.5,47.4
U404211655,2023,1,24,24.2,49.2
U404211655,2023,1,25,21.1,44.1
U404211655,2023,1,26,24.4,49.7
U404211655,2023,1,27,19.3,
U404211655,2023,1,28,22.4,42.6
U404211655,2023,1,29,20.7,51.1
U404211655,2023,1,30,28.0,32.2
U404211655,2023,1,31,23.9,39.5
U404211655,2023,2,1,19.1,51.3
U404211655,2023,2,2,30.8,58.7
U404211655,2023,2,3,23.1,48.7
U404211655,2023,2,4,24.4,51.0
U404211655,2023,2,5,24.9,52.6
U404211655,2023,2,6,18.7,
U404211655,2023,2,7,21.2,48.0
U404211655,2023,2,8,23.0,
U404211655,2023,2,9,23.1,46.1
U404211655,2023,2,10,22.6,46.8
U404211655,2023,2,11,23.9,39.3
U404211655,2023,2,12,21.8,50.9
U404211655,2023,2,13,19.5,
U404211655,2023,2,14,22.4,51.4
U404211655,2023,2,15,19.5,45.6
U404211655,2023,2,16,20.5,46.0
U404211655,2023,2,17,25.6,60.3
U404211655,2023,2,18,24.2,52.3
U404211655,2023,2,19,,56.1
U404211655,2023,2,20,22.3,49.6
U404211655,2023,2,21,24.2,39.3
U404211655,2023,2,22,22.9,45.3
U404211655,2023,2,23,21.9,49.8
U404211655,2023,2,24,22.8,54.0
U404211655,2023,2,25,25.0,52.7
U404211655,2023,2,26,20.3,46.2
U404211655,2023,2,27,19.4,53.2
U404211655,2023,2,28,22.8,44.0
U404211655,2023,3,1,20.7,53.6
U404211655,2023,3,2,22.2,46.7
U404211655,2023,3,3,24.4,41.5
U404211655,2023,3,4,21.6,47.0
U404211655,2023,3,5,22.3,48.3
U404211655,2023,3,6,20.5,47.9
U404211655,2023,3,7,23.6,48.8
U404211655,2023,3,8,22.9,52.4
U404211655,2023,3,9,20.9,38.6
U404211655,2023,3,10,19.6,55.5
U404211655,2023,3,11,21.6,54.7
U404211655,2023,3,12,22.0,56.5
U404211655,2023,3,13,18.7,53.7
U404211655,2023,3,14,24.3,48.4
U404211655,2023,3,15,,41.4
U404211655,2023,3,16,31.6,39.6
U404211655,2023,3,17,19.2,50.7
U404211655,2023,3,18,24.9,60.7
U404211655,2023,3,19,20.7,50.7
U404211655,2023,3,20,16.3,40.7
U404211655,2023,3,21,22.8,55.0
U404211655,2023,3,22,23.2,45.6
U404211655,2023,3,23,19.3,45.9
U404211655,2023,3,24,23.6,49.5
U404211655,2023,3,25,23.1,49.2
U404211655,2023,3,26,26.2,57.1
U404211655,2023,3,27,22.7,49.3
U404211655,2023,3,28,26.0,48.9
U404211655,2023,3,29,22.8,
U404211655,2023,3,30,21.6,44.2
U404211655,2023,3,31,22.2,43.5
flat 2b 54,2023,1,1,25.4,51.4
flat 2b 54,2023,1,2,24.2,45.0
flat 2b 54,2023,1,3,23.3,46.8
flat 2b 54,2023,1,4,24.5,48.8
flat 2b 54,2023,1,5,20.9,46.7
flat 2b 54,2023,1,6,17.0,38.9
flat 2b 54,2023,1,7,21.7,60.8
flat 2b 54,2023,1,8,24.8,47.1
flat 2b 54,2023,1,9,23.2,42.4
flat 2b 54,2023,1,10,27.8,41.7
flat 2b 54,2023,1,11,23.6,
flat 2b 54,2023,1,12,,49.0
flat 2b 54,2023,1,13,21.8,46.7
flat 2b 54,2023,1,14,25.9,56.4
flat 2b 54,2023,1,15,21.7,50.4
flat 2b 54,2023,1,16,20.2,39.4
flat 2b 54,2023,1,17,23.7,53.4
flat 2b 54,2023,1,18,22.6,
flat 2b 54,2023,1,19,21.8,45.7
flat 2b 54,2023,1,20,22.3,49.3
flat 2b 54,2023,1,21,24.3,42.1
flat 2b 54,2023,1,22,27.5,46.7
flat 2b 54,2023,1,23,25.5,56.7
flat 2b 54,2023,1,24,21.1,48.1
flat 2b 54,2023,1,25,22.9,37.2
flat 2b 54,2023,1,26,18.6,44.9
flat 2b 54,2023,1,27,23.5,
flat 2b 54,2023,1,28,23.8,47.5
flat 2b 54,2023,1,29,19.4,50.6
flat 2b 54,2023,1,30,18.1,51.2
flat 2b 54,2023,1,31,23.8,48.0
flat 2b 54,2023,2,1,23.0,40.9
flat 2b 54,2023,2,2,25.2,51.2
flat 2b 54,2023,2,3,23.9,47.1
flat 2b 54,2023,2,4,27.8,50.1
flat 2b 54,2023,2,5,20.3,55.0
flat 2b 54,2023,2,6,25.7,61.5
flat 2b 54,2023,2,7,21.8,
flat 2b 54,2023,2,8,23.5,52.9
flat 2b 54,2023,2,9,25.5,45.5
flat 2b 54,2023,2,10,21.4,42.6
flat 2b 54,2023,2,11,23.6,49.4
flat 2b 54,2023,2,12,,53.0
flat 2b 54,2023,2,13,25.2,46.9
flat 2b 54,2023,2,14,21.3,52.5
flat 2b 54,2023,2,15,21.5,
flat 2b 54,2023,2,16,22.9,55.1
flat 2b 54,2023,2,17,21.7,54.2
flat 2b 54,2023,2,18,23.2,51.3
flat 2b 54,2023,2,19,22.8,52.5
flat 2b 54,2023,2,20,20.4,53.6
flat 2b 54,2023,2,21,26.6,48.3
flat 2b 54,2023,2,22,22.7,51.4
flat 2b 54,2023,2,23,26.3,50.5
flat 2b 54,2023,2,24,18.8,40.4
flat 2b 54,2023,2,25,26.4,51.6
flat 2b 54,2023,2,26,25.5,47.5
flat 2b 54,2023,2,27,23.1,44.1
flat 2b 54,2023,2,28,18.9,42.0
flat 2b 54,2023,3,1,21.7,45.8
flat 2b 54,2023,3,2,21.1,48.4
flat 2b 54,2023,3,3,23.4,48.5
flat 2b 54,2023,3,4,17.8,49.7
flat 2b 54,2023,3,5,23.6,62.3
flat 2b 54,2023,3,6,25.0,
flat 2b 54,2023,3,7,17.9,47.0
flat 2b 54,2023,3,8,24.3,54.8
flat 2b 54,2023,3,9,28.5,45.0
flat 2b 54,2023,3,10,24.2,48.0
flat 2b 54,2023,3,11,16.1,47.3
flat 2b 54,2023,3,12,20.3,54.1
flat 2b 54,2023,3,13,20.5,47.3
flat 2b 54,2023,3,14,19.4,40.7
flat 2b 54,2023,3,15,23.1,52.5
flat 2b 54,2023,3,16,19.3,
flat 2b 54,2023,3,17,27.8,53.0
flat 2b 54,2023,3,18,26.4,54.4
flat 2b 54,2023,3,19,24.6,57.6
flat 2b 54,2023,3,20,19.8,53.2
flat 2b 54,2023,3,21,23.5,39.4
flat 2b 54,2023,3,22,25.6,47.0
flat 2b 54,2023,3,23,23.4,56.5
flat 2b 54,2023,3,24,21.9,45.7
flat 2b 54,2023,3,25,23.4,48.8
flat 2b 54,2023,3,26,18.7,49.3
flat 2b 54,2023,3,27,23.3,49.7
flat 2b 54,2023,3,28,24.4,55.8
flat 2b 54,2023,3,29,20.0,39.4
flat 2b 54,2023,3,30,22.2,
flat 2b 54,2023,3,31,18.8,46.3
U295345,2023,1,1,21.7,53.9
U295345,2023,1,2,24.1,
U295345,2023,1,3,21.3,46.5
U295345,2023,1,4,22.2,50.1
U295345,2023,1,5,25.4,59.4
U295345,2023,1,6,21.8,46.5
U295345,2023,1,7,21.5,50.0
U295345,2023,1,8,23.0,56.2
U295345,2023,1,9,,48.9
U295345,2023,1,10,24.3,43.2
U295345,2023,1,11,24.0,49.4
U295345,2023,1,12,23.5,46.5
U295345,2023,1,13,24.5,55.5
U295345,2023,1,14,23.7,57.3
U295345,2023,1,15,,
U295345,2023,1,16,25.4,
U295345,2023,1,17,,40.8
U295345,2023,1,18,20.6,55.3
U295345,2023,1,19,27.9,
U295345,2023,1,20,21.2,55.1
U295345,2023,1,21,25.3,55.0
U295345,2023,1,22,17.5,51.8
U295345,2023,1,23,22.8,47.7
U295345,2023,1,24,24.4,38.8
U295345,2023,1,25,19.0,49.5
U295345,2023,1,26,26.3,54.4
U295345,2023,1,27,26.6,39.4
U295345,2023,1,28,24.9,
U295345,2023,1,29,21.1,
U295345,2023,1,30,22.8,51.4
U295345,2023,1,31,25.7,47.4
U295345,2023,2,1,21.2,48.9
U295345,2023,2,2,22.7,48.7
U295345,2023,2,3,26.1,45.0
U295345,2023,2,4,23.1,52.5
U295345,2023,2,5,23.7,45.9
U295345,2023,2,6,24.3,41.7
U295345,2023,2,7,27.6,47.0
U295345,2023,2,8,21.4,46.9
U295345,2023,2,9,23.5,46.0
U295345,2023,2,10,23.4,50.6
U295345,2023,2,11,25.2,42.6
U295345,2023,2,12,22.5,49.7
U295345,2023,2,13,20.3,
U295345,2023,2,14,22.8,48.6
U295345,2023,2,15,21.4,58.0
U295345,2023,2,16,21.2,58.4
U295345,2023,2,17,20.2,46.5
U295345,2023,2,18,20.5,54.9
U295345,2023,2,19,,41.8
U295345,2023,2,20,24.1,48.7
U295345,2023,2,21,22.7,56.9
U295345,2023,2,22,26.4,57.4
U295345,2023,2,23,25.2,40.0
U295345,2023,2,24,19.1,46.2
U295345,2023,2,25,21.8,58.7
U295345,2023,2,26,22.2,52.4
U295345,2023,2,27,23.4,
U295345,2023,2,28,24.7,51.4
U295345,2023,3,1,16.7,47.8
U295345,2023,3,2,21.8,49.3
U295345,2023,3,3,20.6,45.9
U295345,2023,3,4,18.2,52.8
U295345,2023,3,5,25.7,52.0
U295345,2023,3,6,20.1,42.2
U295345,2023,3,7,24.1,43.6
U295345,2023,3,8,20.8,50.8
U295345,2023,3,9,23.7,53.5
U295345,2023,3,10,20.6,50.6
U295345,2023,3,11,20.7,49.3
U295345,2023,3,12,21.4,59.4
U295345,2023,3,13,24.2,55.5
U295345,2023,3,14,24.4,50.6
U295345,2023,3,15,22.7,54.9
U295345,2023,3,16,22.2,42.3
U295345,2023,3,17,17.7,51.9
U295345,2023,3,18,21.7,58.2
U295345,2023,3,19,24.9,43.0
U295345,2023,3,20,26.7,50.8
U295345,2023,3,21,25.0,53.7
U295345,2023,3,22,22.3,53.6
U295345,2023,3,23,22.1,56.6
U295345,2023,3,24,20.1,
U295345,2023,3,25,28.1,54.0
U295345,2023,3,26,26.9,59.0
U295345,2023,3,27,25.7,38.5
U295345,2023,3,28,21.1,42.1
U295345,2023,3,29,17.8,48.5
U295345,2023,3,30,21.9,49.7
U295345,2023,3,31,21.6,46.5
apt 4b quinley,2023,1,1,27.8,51.4
apt 4b quinley,2023,1,2,21.8,
apt 4b quinley,2023,1,3,19.9,44.4
apt 4b quinley,2023,1,4,24.3,51.5
apt 4b quinley,2023,1,5,21.0,52.2
apt 4b quinley,2023,1,6,27.4,48.8
apt 4b quinley,2023,1,7,27.6,46.4
apt 4b quinley,2023,1,8,,57.7
apt 4b quinley,2023,1,9,18.8,55.1
apt 4b quinley,2023,1,10,22.0,42.4
apt 4b quinley,2023,1,11,25.4,45.6
apt 4b quinley,2023,1,12,21.9,52.1
apt 4b quinley,2023,1,13,20.4,49.3
apt 4b quinley,2023,1,14,24.7,52.4
apt 4b quinley,2023,1,15,20.3,52.4
apt 4b quinley,2023,1,16,24.5,50.1
apt 4b quinley,2023,1,17,22.5,48.8
apt 4b quinley,2023,1,18,25.7,47.2
apt 4b quinley,2023,1,19,18.4,49.7
apt 4b quinley,2023,1,20,24.9,42.8
apt 4b quinley,2023,1,21,27.8,48.9
apt 4b quinley,2023,1,22,25.3,53.8
apt 4b quinley,2023,1,23,19.4,53.4
apt 4b quinley,2023,1,24,23.9,53.9
apt 4b quinley,2023,1,25,19.9,49.4
apt 4b quinley,2023,1,26,24.3,
apt 4b quinley,2023,1,27,18.8,57.5
apt 4b quinley,2023,1,28,22.3,49.4
apt 4b quinley,2023,1,29,24.8,50.7
apt 4b quinley,2023,1,30,26.2,31.8
apt 4b quinley,2023,1,31,28.0,52.4
apt 4b quinley,2023,2,1,23.1,45.7
apt 4b quinley,2023,2,2,26.6,49.1
apt 4b quinley,2023,2,3,23.3,47.8
apt 4b quinley,2023,2,4,23.7,48.4
apt 4b quinley,2023,2,5,23.0,52.4
apt 4b quinley,2023,2,6,19.1,45.6
apt 4b quinley,2023,2,7,27.7,50.2
apt 4b quinley,2023,2,8,21.1,46.6
apt 4b quinley,2023,2,9,22.0,45.9
apt 4b quinley,2023,2,10,23.9,55.1
apt 4b quinley,2023,2,11,23.5,55.3
apt 4b quinley,2023,2,12,22.5,46.1
apt 4b quinley,2023,2,13,27.6,
apt 4b quinley,2023,2,14,26.7,47.0
apt 4b quinley,2023,2,15,21.5,57.5
apt 4b quinley,2023,2,16,21.0,44.6
apt 4b quinley,2023,2,17,19.2,52.0
apt 4b quinley,2023,2,18,25.6,53.0
apt 4b quinley,2023,2,19,19.2,50.1
apt 4b quinley,2023,2,20,21.8,46.2
apt 4b quinley,2023,2,21,24.3,41.2
apt 4b quinley,2023,2,22,22.2,39.0
apt 4b quinley,2023,2,23,26.6,47.5
apt 4b quinley,2023,2,24,19.3,43.1
apt 4b quinley,2023,2,25,25.0,53.9
apt 4b quinley,2023,2,26,23.7,
apt 4b quinley,2023,2,27,25.8,44.2
apt 4b quinley,2023,2,28,21.9,50.1
apt 4b quinley,2023,3,1,21.5,51.6
apt 4b quinley,2023,3,2,20.7,46.6
apt 4b quinley,2023,3,3,21.1,47.8
apt 4b quinley,2023,3,4,22.1,56.9
apt 4b quinley,2023,3,5,22.0,50.7
apt 4b quinley,2023,3,6,20.5,49.8
apt 4b quinley,2023,3,7,24.4,57.2
apt 4b quinley,2023,3,8,18.3,50.7
apt 4b quinley,2023,3,9,23.3,47.4
apt 4b quinley,2023,3,10,23.6,50.5
apt 4b quinley,2023,3,11,20.9,60.2
apt 4b quinley,2023,3,12,21.5,49.8
apt 4b quinley,2023,3,13,22.6,44.8
apt 4b quinley,2023,3,14,24.5,50.7
apt 4b quinley,2023,3,15,22.3,53.6
apt 4b quinley,2023,3,16,17.4,40.3
apt 4b quinley,2023,3,17,23.3,51.8
apt 4b quinley,2023,3,18,20.5,52.4
apt 4b quinley,2023,3,19,22.8,52.5
apt 4b quinley,2023,3,20,19.5,51.3
apt 4b quinley,2023,3,21,27.5,43.5
apt 4b quinley,2023,3,22,17.9,52.2
apt 4b quinley,2023,3,23,25.4,47.2
apt 4b quinley,2023,3,24,17.1,55.3
apt 4b quinley,2023,3,25,26.5,
apt 4b quinley,2023,3,26,23.5,49.4
apt 4b quinley,2023,3,27,24.9,44.4
apt 4b quinley,2023,3,28,23.8,48.3
apt 4b quinley,2023,3,29,22.6,55.2
apt 4b quinley,2023,3,30,24.5,46.3
apt 4b quinley,2023,3,31,23.9,52.0
U528896154,2023,1,1,25.5,48.7
U528896154,2023,1,2,23.5,38.6
U528896154,2023,1,3,21.3,47.6
U528896154,2023,1,4,25.2,55.9
U528896154,2023,1,5,17.0,43.5
U528896154,2023,1,6,23.9,
U528896154,2023,1,7,,
U528896154,2023,1,8,20.0,50.0
U528896154,2023,1,9,22.7,46.6
U528896154,2023,1,10,22.5,44.4
U528896154,2023,1,11,25.5,45.7
U528896154,2023,1,12,22.4,50.0
U528896154,2023,1,13,22.9,45.2
U528896154,2023,1,14,27.6,53.8
U528896154,2023,1,15,25.4,44.5
U528896154,2023,1,16,24.6,
U528896154,2023,1,17,25.9,49.6
U528896154,2023,1,18,23.3,53.5
U528896154,2023,1,19,23.2,49.1
U528896154,2023,1,20,20.1,48.0
U528896154,2023,1,21,25.9,51.4
U528896154,2023,1,22,27.9,52.9
U528896154,2023,1,23,20.6,50.1
U528896154,2023,1,24,17.6,44.9
U528896154,2023,1,25,26.1,45.0
U528896154,2023,1,26,24.4,46.0
U528896154,2023,1,27,28.1,52.1
U528896154,2023,1,28,18.5,55.6
U528896154,2023,1,29,23.1,51.0
U528896154,2023,1,30,23.2,42.0
U528896154,2023,1,31,19.2,51.2
U528896154,2023,2,1,22.7,39.9
U528896154,2023,2,2,24.4,55.6
U528896154,2023,2,3,26.7,54.1
U528896154,2023,2,4,28.1,47.9
U528896154,2023,2,5,18.9,56.4
U528896154,2023,2,6,23.3,49.4
U528896154,2023,2,7,22.2,48.7
U528896154,2023,2,8,19.6,40.1
U528896154,2023,2,9,23.6,54.5
U528896154,2023,2,10,25.3,43.6
U528896154,2023,2,11,23.4,51.3
U528896154,2023,2,12,23.6,49.5
U528896154,2023,2,13,16.7,43.5
U528896154,2023,2,14,23.1,38.8
U528896154,2023,2,15,17.9,43.8
U528896154,2023,2,16,25.6,49.8
U528896154,2023,2,17,23.3,50.9
U528896154,2023,2,18,18.7,54.2
U528896154,2023,2,19,20.3,49.0
U528896154,2023,2,20,24.7,48.7
U528896154,2023,2,21,22.2,45.0
U528896154,2023,2,22,24.0,49.7
U528896154,2023,2,23,30.0,45.1
U528896154,2023,2,24,22.3,
U528896154,2023,2,25,19.1,47.7
U528896154,2023,2,26,26.5,57.7
U528896154,2023,2,27,21.9,47.8
U528896154,2023,2,28,23.9,44.9
U528896154,2023,3,1,18.5,43.6
U528896154,2023,3,2,21.1,47.0
U528896154,2023,3,3,21.3,44.3
U528896154,2023,3,4,21.8,43.6
U528896154,2023,3,5,21.6,45.8
U528896154,2023,3,6,27.6,45.0
U528896154,2023,3,7,26.1,
U528896154,2023,3,8,23.3,51.9
U528896154,2023,3,9,22.6,46.3
U528896154,2023,3,10,17.6,46.2
U528896154,2023,3,11,22.0,55.1
U528896154,2023,3,12,19.2,48.5
U528896154,2023,3,13,24.4,
U528896154,2023,3,14,22.5,51.0
U528896154,2023,3,15,25.5,
U528896154,2023,3,16,21.9,46.6
U528896154,2023,3,17,23.4,
U528896154,2023,3,18,24.6,56.0
U528896154,2023,3,19,26.0,45.3
U528896154,2023,3,20,20.1,52.8
U528896154,2023,3,21,26.2,50.2
U528896154,2023,3,22,22.1,39.2
U528896154,2023,3,23,25.3,50.0
U528896154,2023,3,24,21.0,38.5
U528896154,2023,3,25,19.0,56.5
U528896154,2023,3,26,21.3,42.5
U528896154,2023,3,27,21.0,43.7
U528896154,2023,3,28,22.0,52.9
U528896154,2023,3,29,19.8,50.4
U528896154,2023,3,30,18.6,43.7
U528896154,2023,3,31,17.3,40.6
U330870444,2023,1,1,24.4,56.2
U330870444,2023,1,2,28.8,55.1
U330870444,2023,1,3,24.3,47.3
U330870444,2023,1,4,19.3,43.9
U330870444,2023,1,5,22.6,32.6
U330870444,2023,1,6,24.4,53.7
U330870444,2023,1,7,24.6,46.9
U330870444,2023,1,8,22.3,52.9
U330870444,2023,1,9,27.6,44.5
U330870444,2023,1,10,25.3,52.1
U330870444,2023,1,11,27.5,
U330870444,2023,1,12,24.4,45.4
U330870444,2023,1,13,19.8,45.5
U330870444,2023,1,14,22.8,54.3
U330870444,2023,1,15,19.3,50.7
U330870444,2023,1,16,27.7,41.7
U330870444,2023,1,17,24.5,47.1
U330870444,2023,1,18,24.0,53.0
U330870444,2023,1,19,25.9,56.5
U330870444,2023,1,20,24.7,51.3
U330870444,2023,1,21,21.0,54.9
U330870444,2023,1,22,24.3,43.2
U330870444,2023,1,23,26.5,48.7
U330870444,2023,1,24,22.4,45.8
U330870444,2023,1,25,,45.7
U330870444,2023,1,26,22.4,49.9
U330870444,2023,1,27,24.1,38.5
U330870444,2023,1,28,20.7,54.2
U330870444,2023,1,29,26.0,51.0
U330870444,2023,1,30,23.6,44.7
U330870444,2023,1,31,20.8,43.5
U330870444,2023,2,1,20.4,49.8
U330870444,2023,2,2,24.2,44.7
U330870444,2023,2,3,23.6,45.5
U330870444,2023,2,4,24.9,
U330870444,2023,2,5,22.5,57.6
U330870444,2023,2,6,26.4,50.3
U330870444,2023,2,7,20.9,47.8
U330870444,2023,2,8,20.0,
U330870444,2023,2,9,21.4,44.8
U330870444,2023,2,10,23.1,45.4
U330870444,2023,2,11,24.1,42.7
U330870444,2023,2,12,21.9,44.1
U330870444,2023,2,13,24.0,47.0
U330870444,2023,2,14,23.2,49.1
U330870444,2023,2,15,24.6,47.8
U330870444,2023,2,16,20.6,55.0
U330870444,2023,2,17,25.1,50.8
U330870444,2023,2,18,23.9,54.7
U330870444,2023,2,19,,48.0
U330870444,2023,2,20,23.5,
U330870444,2023,2,21,19.5,49.2
U330870444,2023,2,22,18.3,49.0
U330870444,2023,2,23,25.5,43.6
U330870444,2023,2,24,23.1,47.9
U330870444,2023,2,25,20.9,51.8
U330870444,2023,2,26,25.1,63.5
U330870444,2023,2,27,21.9,43.7
U330870444,2023,2,28,22.9,36.3
U330870444,2023,3,1,22.8,52.4
U330870444,2023,3,2,23.0,
U330870444,2023,3,3,24.4,50.1
U330870444,2023,3,4,25.2,56.0
U330870444,2023,3,5,,50.3
U330870444,2023,3,6,24.6,50.0
U330870444,2023,3,7,22.2,50.0
U330870444,2023,3,8,22.7,47.2
U330870444,2023,3,9,20.7,42.3
U330870444,2023,3,10,23.6,44.8
U330870444,2023,3,11,18.8,52.6
U330870444,2023,3,12,27.3,55.6
U330870444,2023,3,13,23.7,55.6
U330870444,2023,3,14,19.6,44.0
U330870444,2023,3,15,23.4,41.3
U330870444,2023,3,16,18.8,44.9
U330870444,2023,3,17,21.0,49.7
U330870444,2023,3,18,25.1,48.3
U330870444,2023,3,19,23.1,58.1
U330870444,2023,3,20,22.6,63.4
U330870444,2023,3,21,24.7,51.5
U330870444,2023,3,22,19.0,
U330870444,2023,3,23,25.6,44.3
U330870444,2023,3,24,23.4,43.4
U330870444,2023,3,25,20.2,52.3
U330870444,2023,3,26,16.8,43.5
U330870444,2023,3,27,17.7,49.6
U330870444,2023,3,28,19.6,57.1
U330870444,2023,3,29,21.2,44.7
U330870444,2023,3,30,20.2,49.2
U330870444,2023,3,31,22.9,46.4
unit 3 85 belcroft,2023,1,1,25.0,48.0
unit 3 85 belcroft,2023,1,2,23.4,54.8
unit 3 85 belcroft,2023,1,3,21.6,45.8
unit 3 85 belcroft,2023,1,4,22.8,48.1
unit 3 85 belcroft,2023,1,5,19.5,37.6
unit 3 85 belcroft,2023,1,6,19.3,52.8
unit 3 85 belcroft,2023,1,7,25.6,54.7
unit 3 85 belcroft,2023,1,8,24.1,45.5
unit 3 85 belcroft,2023,1,9,27.1,42.4
unit 3 85 belcroft,2023,1,10,22.1,45.8
unit 3 85 belcroft,2023,1,11,21.4,53.8
unit 3 85 belcroft,2023,1,12,23.4,50.2
unit 3 85 belcroft,2023,1,13,22.0,49.1
