reference,year,month,day,avgTemperature,avgHumidity,avgCo2
flat 1a 33 draywick,2023,2,12,20.75,50.33,545.81
flat 1a 33 draywick,2023,2,13,21.61,58.53,664.79
flat 1a 33 draywick,2023,2,14,21.07,56.93,
flat 1a 33 draywick,2023,2,15,,58.27,658.39
flat 1a 33 draywick,2023,2,16,21.9,58.45,576.4
flat 1a 33 draywick,2023,2,17,21.51,52.85,615.76
flat 1a 33 draywick,2023,2,18,21.09,,
flat 1a 33 draywick,2023,2,19,22.17,54.87,
flat 1a 33 draywick,2023,2,20,21.02,61.66,622.68
flat 1a 33 draywick,2023,2,21,20.25,63.58,
flat 1a 33 draywick,2023,2,22,23.12,61.39,
flat 1a 33 draywick,2023,2,23,21.22,56.44,550.06
flat 1a 33 draywick,2023,2,24,21.5,64.75,670.26
flat 1a 33 draywick,2023,2,25,21.73,58.79,619.47
flat 1a 33 draywick,2023,2,26,19.3,55.22,
flat 1a 33 draywick,2023,2,27,20.95,57.45,
flat 1a 33 draywick,2023,2,28,21.84,49.68,
flat 1a 33 draywick,2023,3,1,19.56,,
flat 1a 33 draywick,2023,3,2,19.29,65.11,615.7
flat 1a 33 draywick,2023,3,3,18.68,61.64,712.98
flat 1a 33 draywick,2023,3,4,20.24,63.8,
flat 1a 33 draywick,2023,3,5,19.19,62.4,652.93
flat 1a 33 draywick,2023,3,6,19.47,59.35,701.55
flat 1a 33 draywick,2023,3,7,19.89,55.99,
flat 1a 33 draywick,2023,3,8,19.38,56.3,724.27
flat 1a 33 draywick,2023,3,9,19.16,51.7,
flat 1a 33 draywick,2023,3,10,19.03,59.83,632.4
flat 1a 33 draywick,2023,3,11,18.94,59.81,
flat 1a 33 draywick,2023,3,12,19.28,62.21,613.58
flat 1a 33 draywick,2023,3,13,18.06,59.06,636.32
flat 1a 33 draywick,2023,3,14,18.98,54.61,
flat 1a 33 draywick,2023,3,15,18.31,60.03,733.3
flat 1a 33 draywick,2023,3,16,19.47,57.85,707.45
flat 1a 33 draywick,2023,3,17,19.31,59.22,627.82
flat 1a 33 draywick,2023,3,18,19.42,56.27,
flat 1a 33 draywick,2023,3,19,19.44,60.87,
flat 1a 33 draywick,2023,3,20,19.23,64.57,577.86
flat 1a 33 draywick,2023,3,21,19.06,60.39,578.02
flat 1a 33 draywick,2023,3,22,19.37,,553.74
flat 1a 33 draywick,2023,3,23,19.17,62.02,645.85
flat 1a 33 draywick,2023,3,24,19.64,,
flat 1a 33 draywick,2023,3,25,19.03,60.74,662.59
flat 1a 33 draywick,2023,3,26,19.95,,606.32
flat 1a 33 draywick,2023,3,27,19.65,57.43,605.74
flat 1a 33 draywick,2023,3,28,18.41,60.17,645.1
flat 1a 33 draywick,2023,3,29,18.59,64.05,
flat 1a 33 draywick,2023,3,30,18.88,60.45,
flat 1a 33 draywick,2023,3,31,18.88,62.1,598.64
U404211655,2023,1,1,19.19,61.25,721.16
U404211655,2023,1,2,19.82,,663.18
U404211655,2023,1,3,20.47,56.58,733.51
U404211655,2023,1,4,19.25,60.4,
U404211655,2023,1,5,19.49,60.29,672.3
U404211655,2023,1,6,21.03,57.43,699.99
U404211655,2023,1,7,,57.86,606.59
U404211655,2023,1,8,20.16,56.83,727.96
U404211655,2023,1,9,20.64,61.29,556.9
U404211655,2023,1,10,19.02,60.9,643.44
U404211655,2023,1,11,20.83,59.16,658.44
U404211655,2023,1,12,20.47,52.49,561.95
U404211655,2023,1,13,18.94,57.93,625.41
U404211655,2023,1,14,19.72,57.98,623.22
U404211655,2023,1,15,20.45,60.1,650.31
U404211655,2023,1,16,19.03,59.52,695.59
U404211655,2023,1,17,19.71,63.32,743.73
U404211655,2023,1,18,18.65,58.86,
U404211655,2023,1,19,18.78,55.38,654.23
U404211655,2023,1,20,19.16,61.41,598.8
U404211655,2023,1,21,19.52,58.21,670.48
U404211655,2023,1,22,19.21,61.7,652.6
U404211655,2023,1,23,19.15,63.45,733.49
U404211655,2023,1,24,20.23,55.54,774.38
U404211655,2023,1,25,19.26,61.69,
U404211655,2023,1,26,20.62,62.73,594.75
U404211655,2023,1,27,20.33,61.06,
U404211655,2023,1,28,18.84,62.64,646.0
U404211655,2023,1,29,19.38,62.7,620.53
U404211655,2023,1,30,19.89,58.71,
U404211655,2023,1,31,19.58,55.56,683.99
U404211655,2023,2,1,19.8,57.56,738.63
U404211655,2023,2,2,19.12,57.11,574.29
U404211655,2023,2,3,18.96,53.46,595.71
U404211655,2023,2,4,19.24,62.81,740.11
U404211655,2023,2,5,19.24,61.34,627.24
U404211655,2023,2,6,19.19,62.69,
U404211655,2023,2,7,20.41,56.63,669.56
U404211655,2023,2,8,20.71,57.46,609.28
U404211655,2023,2,9,18.72,60.23,
U404211655,2023,2,10,20.62,50.87,650.78
U404211655,2023,2,11,18.7,56.61,
U404211655,2023,2,12,18.79,56.64,647.0
U404211655,2023,2,13,19.94,58.39,
U404211655,2023,2,14,20.44,61.41,
U404211655,2023,2,15,21.33,55.89,
U404211655,2023,2,16,19.5,63.26,649.68
U404211655,2023,2,17,18.96,56.9,619.28
U404211655,2023,2,18,21.22,60.64,689.13
U404211655,2023,2,19,19.06,62.1,663.54
U404211655,2023,2,20,20.93,55.32,554.44
U404211655,2023,2,21,19.15,65.65,
U404211655,2023,2,22,20.34,60.14,574.1
U404211655,2023,2,23,19.43,55.67,657.19
U404211655,2023,2,24,18.94,58.32,624.57
U404211655,2023,2,25,19.46,60.35,646.98
U404211655,2023,2,26,20.15,61.83,576.83
U404211655,2023,2,27,19.3,63.13,614.33
U404211655,2023,2,28,19.75,62.13,656.22
U404211655,2023,3,1,18.17,,
U404211655,2023,3,2,16.88,58.08,679.02
U404211655,2023,3,3,17.24,,570.18
U404211655,2023,3,4,17.93,64.3,574.1
U404211655,2023,3,5,17.65,59.98,587.1
U404211655,2023,3,6,17.51,67.73,
U404211655,2023,3,7,18.46,63.59,
U404211655,2023,3,8,18.23,58.68,629.14
U404211655,2023,3,9,17.52,64.56,622.29
U404211655,2023,3,10,17.48,58.39,542.03
U404211655,2023,3,11,16.91,64.14,660.17
U404211655,2023,3,12,15.69,59.67,773.55
U404211655,2023,3,13,17.95,61.37,585.53
U404211655,2023,3,14,17.82,63.26,613.46
U404211655,2023,3,15,17.83,64.52,
U404211655,2023,3,16,17.17,61.98,679.27
U404211655,2023,3,17,17.94,64.59,610.61
U404211655,2023,3,18,18.42,62.93,669.28
U404211655,2023,3,19,17.46,65.6,
U404211655,2023,3,20,17.62,63.58,620.06
U404211655,2023,3,21,,64.87,673.7
U404211655,2023,3,22,18.18,61.66,615.62
U404211655,2023,3,23,17.74,65.67,725.82
U404211655,2023,3,24,17.3,60.33,635.77
U404211655,2023,3,25,17.73,62.61,638.11
U404211655,2023,3,26,17.28,65.37,641.88
U404211655,2023,3,27,18.09,63.2,575.61
U404211655,2023,3,28,17.99,,
U404211655,2023,3,29,17.66,66.61,681.68
U404211655,2023,3,30,18.31,60.01,560.08
U404211655,2023,3,31,17.12,61.54,606.17
flat 2b 54,2023,1,1,22.0,56.81,
flat 2b 54,2023,1,2,20.72,61.89,737.83
flat 2b 54,2023,1,3,21.24,,704.69
flat 2b 54,2023,1,4,21.14,62.49,661.9
flat 2b 54,2023,1,5,20.49,57.45,691.69
flat 2b 54,2023,1,6,20.22,61.65,664.37
flat 2b 54,2023,1,7,20.21,56.9,
flat 2b 54,2023,1,8,21.77,51.07,663.74
flat 2b 54,2023,1,9,21.2,59.14,621.2
flat 2b 54,2023,1,10,20.81,56.33,586.52
flat 2b 54,2023,1,11,,56.35,524.6
flat 2b 54,2023,1,12,21.34,59.9,634.95
flat 2b 54,2023,1,13,20.47,57.95,754.91
flat 2b 54,2023,1,14,21.18,57.15,517.38
flat 2b 54,2023,1,15,19.9,56.36,597.22
flat 2b 54,2023,1,16,21.4,,710.7
flat 2b 54,2023,1,17,21.7,60.21,722.8
flat 2b 54,2023,1,18,19.91,57.59,
flat 2b 54,2023,1,19,21.36,62.5,
flat 2b 54,2023,1,20,21.87,62.1,628.41
flat 2b 54,2023,1,21,21.47,58.22,
flat 2b 54,2023,1,22,21.0,60.33,
flat 2b 54,2023,1,23,21.24,55.09,
flat 2b 54,2023,1,24,20.97,60.02,544.91
flat 2b 54,2023,1,25,21.41,62.61,742.45
flat 2b 54,2023,1,26,21.43,53.24,695.63
flat 2b 54,2023,1,27,21.32,56.45,652.71
flat 2b 54,2023,1,28,21.58,59.11,605.63
flat 2b 54,2023,1,29,20.85,60.27,546.22
flat 2b 54,2023,1,30,21.69,62.12,646.61
flat 2b 54,2023,1,31,21.28,59.37,676.72
flat 2b 54,2023,2,1,22.04,63.56,538.85
flat 2b 54,2023,2,2,21.33,55.01,
flat 2b 54,2023,2,3,21.14,57.45,502.62
flat 2b 54,2023,2,4,21.83,56.35,
flat 2b 54,2023,2,5,22.72,59.15,659.05
flat 2b 54,2023,2,6,22.11,56.35,570.04
flat 2b 54,2023,2,7,20.8,58.73,676.2
flat 2b 54,2023,2,8,20.79,60.36,710.34
flat 2b 54,2023,2,9,21.05,56.36,722.18
flat 2b 54,2023,2,10,20.9,58.03,591.29
flat 2b 54,2023,2,11,20.08,56.18,651.98
flat 2b 54,2023,2,12,20.18,,647.01
flat 2b 54,2023,2,13,22.17,65.22,
flat 2b 54,2023,2,14,22.5,55.68,771.27
flat 2b 54,2023,2,15,20.98,53.36,603.27
flat 2b 54,2023,2,16,23.62,55.25,588.75
flat 2b 54,2023,2,17,20.49,57.27,665.21
flat 2b 54,2023,2,18,22.44,50.84,600.65
flat 2b 54,2023,2,19,21.91,55.7,598.67
flat 2b 54,2023,2,20,22.46,58.61,609.45
flat 2b 54,2023,2,21,21.8,57.66,696.53
flat 2b 54,2023,2,22,21.18,58.89,613.77
flat 2b 54,2023,2,23,21.65,57.09,
flat 2b 54,2023,2,24,20.27,58.39,648.16
flat 2b 54,2023,2,25,20.14,55.06,529.64
flat 2b 54,2023,2,26,20.86,55.96,719.72
flat 2b 54,2023,2,27,21.79,63.27,
flat 2b 54,2023,2,28,21.36,60.04,
flat 2b 54,2023,3,1,18.74,57.68,709.02
flat 2b 54,2023,3,2,18.57,57.34,686.53
flat 2b 54,2023,3,3,18.93,53.95,
flat 2b 54,2023,3,4,19.5,56.46,628.14
flat 2b 54,2023,3,5,18.43,54.63,
flat 2b 54,2023,3,6,20.85,56.09,714.72
flat 2b 54,2023,3,7,18.6,62.35,
flat 2b 54,2023,3,8,19.44,57.64,657.46
flat 2b 54,2023,3,9,18.51,60.0,685.45
flat 2b 54,2023,3,10,18.04,60.35,
flat 2b 54,2023,3,11,18.7,56.48,637.61
flat 2b 54,2023,3,12,19.09,58.22,673.61
flat 2b 54,2023,3,13,18.56,53.15,633.68
flat 2b 54,2023,3,14,18.3,57.08,
flat 2b 54,2023,3,15,18.33,65.57,712.83
flat 2b 54,2023,3,16,18.61,59.81,
flat 2b 54,2023,3,17,18.05,59.47,
flat 2b 54,2023,3,18,19.23,63.74,677.91
flat 2b 54,2023,3,19,17.46,64.6,617.52
flat 2b 54,2023,3,20,18.98,62.66,
flat 2b 54,2023,3,21,19.05,62.99,580.68
flat 2b 54,2023,3,22,19.9,63.78,577.72
flat 2b 54,2023,3,23,19.03,62.73,740.55
flat 2b 54,2023,3,24,18.34,60.6,
flat 2b 54,2023,3,25,18.49,52.89,656.09
flat 2b 54,2023,3,26,20.03,59.11,601.08
flat 2b 54,2023,3,27,18.79,55.96,
flat 2b 54,2023,3,28,19.0,60.79,672.86
flat 2b 54,2023,3,29,19.48,62.03,673.31
flat 2b 54,2023,3,30,18.86,58.9,627.77
flat 2b 54,2023,3,31,19.68,64.21,659.26
U295345,2023,1,1,21.15,57.34,566.1
U295345,2023,1,2,20.88,58.36,668.88
U295345,2023,1,3,20.56,62.67,701.74
U295345,2023,1,4,19.53,56.02,
U295345,2023,1,5,21.36,53.89,668.09
U295345,2023,1,6,20.8,53.96,700.44
U295345,2023,1,7,22.48,53.59,680.81
U295345,2023,1,8,22.02,49.22,
U295345,2023,1,9,21.31,60.43,
U295345,2023,1,10,20.94,60.2,636.44
U295345,2023,1,11,21.19,54.53,
U295345,2023,1,12,21.74,57.56,
U295345,2023,1,13,21.09,49.62,
U295345,2023,1,14,21.04,56.41,654.28
U295345,2023,1,15,21.06,54.87,
U295345,2023,1,16,22.61,54.7,635.75
U295345,2023,1,17,20.26,63.82,
U295345,2023,1,18,20.92,60.37,643.23
U295345,2023,1,19,21.23,57.93,
U295345,2023,1,20,20.64,57.42,
U295345,2023,1,21,22.33,54.71,694.41
U295345,2023,1,22,21.99,55.15,
U295345,2023,1,23,21.35,55.97,684.61
U295345,2023,1,24,20.49,62.51,542.02
U295345,2023,1,25,20.15,61.61,658.2
U295345,2023,1,26,21.99,50.86,706.47
U295345,2023,1,27,21.93,51.82,
U295345,2023,1,28,20.49,56.14,
U295345,2023,1,29,20.47,54.1,625.13
U295345,2023,1,30,,52.9,
U295345,2023,1,31,20.73,58.71,
U295345,2023,2,1,21.91,53.24,733.52
U295345,2023,2,2,20.13,59.79,
U295345,2023,2,3,21.71,57.37,666.97
U295345,2023,2,4,20.64,53.91,
U295345,2023,2,5,21.44,56.66,
U295345,2023,2,6,20.85,,562.55
U295345,2023,2,7,21.55,59.6,608.8
U295345,2023,2,8,21.28,57.6,637.55
U295345,2023,2,9,22.23,59.37,
U295345,2023,2,10,20.83,,631.57
U295345,2023,2,11,21.44,52.92,505.39
U295345,2023,2,12,20.09,,684.59
U295345,2023,2,13,20.34,54.61,680.56
U295345,2023,2,14,20.78,62.84,605.96
U295345,2023,2,15,19.49,61.63,679.3
U295345,2023,2,16,22.03,53.07,
U295345,2023,2,17,20.07,54.17,
U295345,2023,2,18,21.31,61.91,
U295345,2023,2,19,21.29,54.48,584.01
U295345,2023,2,20,22.38,52.18,661.82
U295345,2023,2,21,21.38,58.18,471.85
U295345,2023,2,22,21.24,50.56,679.25
U295345,2023,2,23,21.05,55.19,728.49
U295345,2023,2,24,20.98,58.68,572.43
U295345,2023,2,25,20.88,56.12,609.13
U295345,2023,2,26,22.49,53.85,780.79
U295345,2023,2,27,20.98,54.35,712.05
U295345,2023,2,28,19.88,57.4,613.62
U295345,2023,3,1,17.66,61.93,637.18
U295345,2023,3,2,18.99,,736.68
U295345,2023,3,3,19.0,54.83,
U295345,2023,3,4,19.82,59.49,692.84
U295345,2023,3,5,19.95,64.2,
U295345,2023,3,6,18.65,60.57,638.57
U295345,2023,3,7,18.23,64.42,
U295345,2023,3,8,18.79,55.6,661.36
U295345,2023,3,9,,,627.7
U295345,2023,3,10,18.35,59.68,618.63
U295345,2023,3,11,18.7,62.22,
U295345,2023,3,12,18.99,60.61,
U295345,2023,3,13,19.33,54.45,
U295345,2023,3,14,19.04,62.62,
U295345,2023,3,15,19.31,60.2,652.37
U295345,2023,3,16,19.4,59.39,594.24
U295345,2023,3,17,19.48,57.75,590.23
U295345,2023,3,18,19.64,58.88,663.17
U295345,2023,3,19,17.93,60.08,
U295345,2023,3,20,18.16,58.09,705.54
U295345,2023,3,21,18.96,65.12,652.33
U295345,2023,3,22,18.79,62.38,651.87
U295345,2023,3,23,,,671.49
U295345,2023,3,24,19.26,59.79,717.69
U295345,2023,3,25,19.27,59.12,656.87
U295345,2023,3,26,19.21,60.06,
U295345,2023,3,27,19.24,58.51,630.12
U295345,2023,3,28,18.87,63.73,
U295345,2023,3,29,18.92,64.89,629.22
U295345,2023,3,30,18.56,60.3,655.61
U295345,2023,3,31,19.08,58.97,
apt 4b quinley,2023,1,1,20.42,53.4,
apt 4b quinley,2023,1,2,21.87,55.66,
apt 4b quinley,2023,1,3,22.93,56.87,
apt 4b quinley,2023,1,4,21.89,53.93,
apt 4b quinley,2023,1,5,21.02,,
apt 4b quinley,2023,1,6,22.61,57.43,653.05
apt 4b quinley,2023,1,7,20.66,,
apt 4b quinley,2023,1,8,21.72,56.91,
apt 4b quinley,2023,1,9,,54.5,
apt 4b quinley,2023,1,10,21.83,59.49,
apt 4b quinley,2023,1,11,22.11,56.12,
apt 4b quinley,2023,1,12,21.39,61.64,
apt 4b quinley,2023,1,13,21.57,61.16,
apt 4b quinley,2023,1,14,21.33,57.85,
apt 4b quinley,2023,1,15,23.22,56.85,726.62
apt 4b quinley,2023,1,16,21.51,58.4,
apt 4b quinley,2023,1,17,21.91,54.98,
apt 4b quinley,2023,1,18,,59.62,
apt 4b quinley,2023,1,19,22.8,60.17,577.88
apt 4b quinley,2023,1,20,21.68,58.75,
apt 4b quinley,2023,1,21,21.87,56.14,
apt 4b quinley,2023,1,22,22.4,55.31,
apt 4b quinley,2023,1,23,22.21,58.62,
apt 4b quinley,2023,1,24,22.39,,509.86
apt 4b quinley,2023,1,25,,57.28,
apt 4b quinley,2023,1,26,21.55,,
apt 4b quinley,2023,1,27,23.01,58.29,
apt 4b quinley,2023,1,28,22.36,55.15,714.58
apt 4b quinley,2023,1,29,21.23,58.62,
apt 4b quinley,2023,1,30,22.45,52.77,655.03
apt 4b quinley,2023,1,31,24.17,53.72,648.4
apt 4b quinley,2023,2,1,22.24,60.83,
apt 4b quinley,2023,2,2,21.25,54.13,
apt 4b quinley,2023,2,3,21.49,55.84,
apt 4b quinley,2023,2,4,22.61,53.46,
apt 4b quinley,2023,2,5,22.08,56.63,
apt 4b quinley,2023,2,6,21.51,59.21,
apt 4b quinley,2023,2,7,20.32,53.03,
apt 4b quinley,2023,2,8,,55.99,600.84
apt 4b quinley,2023,2,9,21.6,54.63,724.64
apt 4b quinley,2023,2,10,22.62,58.73,
apt 4b quinley,2023,2,11,20.97,58.18,592.17
apt 4b quinley,2023,2,12,22.55,54.79,579.1
apt 4b quinley,2023,2,13,22.16,53.18,
apt 4b quinley,2023,2,14,21.52,53.05,
apt 4b quinley,2023,2,15,22.94,57.99,
apt 4b quinley,2023,2,16,23.18,55.31,
apt 4b quinley,2023,2,17,21.78,52.21,
apt 4b quinley,2023,2,18,21.41,57.01,
apt 4b quinley,2023,2,19,21.73,61.26,
apt 4b quinley,2023,2,20,21.48,59.16,
apt 4b quinley,2023,2,21,21.34,54.89,
apt 4b quinley,2023,2,22,22.22,57.99,
apt 4b quinley,2023,2,23,21.7,57.89,
apt 4b quinley,2023,2,24,21.82,57.88,
apt 4b quinley,2023,2,25,22.76,51.9,
apt 4b quinley,2023,2,26,20.81,57.75,
apt 4b quinley,2023,2,27,21.12,54.05,
apt 4b quinley,2023,2,28,22.26,,
apt 4b quinley,2023,3,1,20.06,60.03,
apt 4b quinley,2023,3,2,20.24,60.51,
apt 4b quinley,2023,3,3,20.38,60.2,
apt 4b quinley,2023,3,4,19.65,60.23,
apt 4b quinley,2023,3,5,20.0,,
apt 4b quinley,2023,3,6,19.72,55.37,628.88
apt 4b quinley,2023,3,7,18.64,56.8,737.15
apt 4b quinley,2023,3,8,19.96,59.29,
apt 4b quinley,2023,3,9,18.48,65.34,
apt 4b quinley,2023,3,10,18.96,65.19,
apt 4b quinley,2023,3,11,20.49,56.44,590.86
apt 4b quinley,2023,3,12,18.62,60.11,
apt 4b quinley,2023,3,13,19.14,57.97,
apt 4b quinley,2023,3,14,19.94,55.88,
apt 4b quinley,2023,3,15,20.42,59.14,
apt 4b quinley,2023,3,16,19.71,55.65,
apt 4b quinley,2023,3,17,19.49,55.79,
apt 4b quinley,2023,3,18,19.01,57.84,
apt 4b quinley,2023,3,19,20.41,64.05,798.75
apt 4b quinley,2023,3,20,19.85,57.76,
apt 4b quinley,2023,3,21,19.81,,
apt 4b quinley,2023,3,22,18.66,64.15,
apt 4b quinley,2023,3,23,20.11,62.72,
apt 4b quinley,2023,3,24,19.75,62.34,
apt 4b quinley,2023,3,25,21.65,63.43,
apt 4b quinley,2023,3,26,18.72,58.81,
apt 4b quinley,2023,3,27,21.22,56.81,638.6
apt 4b quinley,2023,3,28,19.78,59.56,
apt 4b quinley,2023,3,29,20.03,61.49,
apt 4b quinley,2023,3,30,20.2,,
apt 4b quinley,2023,3,31,19.67,56.93,
U528896154,2023,1,1,20.46,52.24,696.87
U528896154,2023,1,2,21.67,58.35,677.98
U528896154,2023,1,3,21.62,58.99,558.36
U528896154,2023,1,4,20.78,55.82,
U528896154,2023,1,5,21.09,58.72,718.48
U528896154,2023,1,6,20.91,58.61,694.28
U528896154,2023,1,7,20.55,54.25,663.59
U528896154,2023,1,8,22.21,50.57,594.07
U528896154,2023,1,9,21.15,59.51,
U528896154,2023,1,10,22.44,58.31,582.35
U528896154,2023,1,11,21.47,52.96,692.71
U528896154,2023,1,12,21.6,59.29,821.69
U528896154,2023,1,13,20.17,57.97,598.6
U528896154,2023,1,14,21.26,59.37,588.54
U528896154,2023,1,15,22.6,62.7,657.79
U528896154,2023,1,16,20.43,58.84,
U528896154,2023,1,17,21.14,56.7,695.06
U528896154,2023,1,18,21.41,56.18,660.77
U528896154,2023,1,19,20.51,60.43,
U528896154,2023,1,20,21.82,53.1,752.81
U528896154,2023,1,21,21.02,56.5,600.86
U528896154,2023,1,22,21.82,63.68,553.33
U528896154,2023,1,23,19.38,61.49,606.88
U528896154,2023,1,24,21.16,63.37,752.58
U528896154,2023,1,25,20.83,56.35,
U528896154,2023,1,26,22.65,53.81,
U528896154,2023,1,27,20.84,,
U528896154,2023,1,28,21.91,62.52,652.71
U528896154,2023,1,29,19.72,60.97,634.11
U528896154,2023,1,30,22.08,55.53,
U528896154,2023,1,31,22.14,55.48,
U528896154,2023,2,1,20.55,54.32,585.9
U528896154,2023,2,2,21.17,54.69,632.22
U528896154,2023,2,3,21.45,61.49,715.1
U528896154,2023,2,4,22.37,56.49,
U528896154,2023,2,5,20.25,55.73,702.42
U528896154,2023,2,6,20.75,57.59,711.9
U528896154,2023,2,7,21.13,58.57,628.57
U528896154,2023,2,8,21.97,55.5,492.8
U528896154,2023,2,9,21.67,56.37,619.89
U528896154,2023,2,10,21.35,55.69,677.11
U528896154,2023,2,11,21.11,55.91,
U528896154,2023,2,12,20.75,56.86,649.87
U528896154,2023,2,13,20.21,56.72,608.23
U528896154,2023,2,14,20.49,62.79,700.04
U528896154,2023,2,15,21.68,,640.39
U528896154,2023,2,16,21.69,54.44,648.33
U528896154,2023,2,17,21.28,55.21,
U528896154,2023,2,18,20.54,53.56,730.96
U528896154,2023,2,19,20.66,57.37,712.79
U528896154,2023,2,20,20.82,55.0,557.39
U528896154,2023,2,21,22.07,57.38,546.12
U528896154,2023,2,22,21.56,54.66,
U528896154,2023,2,23,20.61,54.32,
U528896154,2023,2,24,20.82,61.35,638.09
U528896154,2023,2,25,21.81,54.55,649.05
U528896154,2023,2,26,21.86,54.41,741.35
U528896154,2023,2,27,21.37,61.88,510.36
U528896154,2023,2,28,20.59,57.91,610.78
U528896154,2023,3,1,18.61,62.01,767.97
U528896154,2023,3,2,19.64,58.11,643.73
U528896154,2023,3,3,18.36,62.16,649.64
U528896154,2023,3,4,19.54,66.09,686.51
U528896154,2023,3,5,19.26,60.55,665.34
U528896154,2023,3,6,18.59,58.67,629.62
U528896154,2023,3,7,19.79,58.23,
U528896154,2023,3,8,19.34,64.82,725.07
U528896154,2023,3,9,20.92,54.87,574.3
U528896154,2023,3,10,19.23,62.13,615.87
U528896154,2023,3,11,19.3,53.06,614.22
U528896154,2023,3,12,18.93,54.91,661.32
U528896154,2023,3,13,18.95,,715.12
U528896154,2023,3,14,19.16,59.3,504.9
U528896154,2023,3,15,18.98,58.69,695.33
U528896154,2023,3,16,19.61,61.17,624.23
U528896154,2023,3,17,17.96,52.45,
U528896154,2023,3,18,18.48,61.89,667.8
U528896154,2023,3,19,19.07,62.34,606.24
U528896154,2023,3,20,18.92,57.65,
U528896154,2023,3,21,19.04,60.0,683.75
U528896154,2023,3,22,19.42,53.54,658.05
U528896154,2023,3,23,18.77,58.77,614.12
U528896154,2023,3,24,18.87,,
U528896154,2023,3,25,19.66,53.68,624.73
U528896154,2023,3,26,19.28,64.72,605.15
U528896154,2023,3,27,18.73,65.29,526.51
U528896154,2023,3,28,20.25,62.44,
U528896154,2023,3,29,19.24,63.88,513.6
U528896154,2023,3,30,18.85,60.44,511.19
U528896154,2023,3,31,18.91,62.59,684.61
U330870444,2023,1,1,21.9,55.72,605.65
U330870444,2023,1,2,20.95,58.97,
U330870444,2023,1,3,20.43,58.63,717.66
U330870444,2023,1,4,20.21,61.79,604.5
U330870444,2023,1,5,21.29,,
U330870444,2023,1,6,19.89,60.13,645.37
U330870444,2023,1,7,21.77,54.83,
U330870444,2023,1,8,20.49,52.99,612.1
U330870444,2023,1,9,21.01,60.51,601.65
U330870444,2023,1,10,,57.63,676.29
U330870444,2023,1,11,21.55,57.69,
U330870444,2023,1,12,20.22,61.0,
U330870444,2023,1,13,20.59,60.74,
U330870444,2023,1,14,20.15,60.18,699.32
U330870444,2023,1,15,20.11,55.18,697.36
U330870444,2023,1,16,20.76,56.73,687.38
U330870444,2023,1,17,21.5,53.1,
U330870444,2023,1,18,20.68,53.53,
U330870444,2023,1,19,20.3,55.49,641.42
U330870444,2023,1,20,20.58,56.96,
U330870444,2023,1,21,21.11,61.02,621.76
U330870444,2023,1,22,20.14,57.21,666.03
U330870444,2023,1,23,20.14,56.74,727.7
